date,time,ticker,name,fill,qty,k,prev_range,offset,krx_open,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_minus_krxopen_bp,cap_minus_prevc_bp,viol_open,viol_prevc,gap_bp,stub
2026-06-16,09:00:16,034020,두산에너빌리티,104800.0,2,0.5413,3600,2532,105100,99800,107632,102332,-263.1,241.2,102268.0,-269.5,247.3,1,0,531.1,0
2026-06-16,09:02:15,064350,현대로템,225500.0,1,0.5388,15000,10506,221000,213000,231506,223506,-259.4,89.2,214994.0,-271.8,93.6,1,0,375.6,0
2026-06-17,10:05:54,095610,테스,173600.0,1,0.5618,13800,10077,166800,169200,176877,179277,-185.3,-316.7,163523.0,-196.5,-335.5,1,1,-141.8,0
2026-06-17,14:03:23,196170,알테오젠,366500.0,1,0.5106,19500,12944,365000,352500,377944,365444,-302.8,28.9,353556.0,-313.5,30.0,1,0,354.6,0
2026-06-19,09:04:55,010120,LS ELECTRIC,268000.0,1,0.4039,24000,12600,254000,242000,266600,254600,52.5,526.3,255400.0,55.1,553.7,0,0,495.9,0
2026-06-23,09:00:18,010120,LS ELECTRIC,249000.0,1,0.439,14000,7988,251000,245000,258988,252988,-385.7,-157.6,241012.0,-397.9,-162.8,1,1,244.9,0
2026-06-23,09:00:31,105560,KB금융,159500.0,1,0.6167,3500,2805,157400,157000,160205,159805,-44.0,-19.1,156695.0,-44.8,-19.4,1,1,25.5,0
2026-06-25,12:08:48,003490,대한항공,29350.0,7,0.5682,1750,1292,28100,27350,29392,28642,-14.3,247.2,28058.0,-14.9,258.9,1,0,274.2,0
2026-06-29,09:14:34,247540,에코프로비엠,142500.0,1,0.4703,14300,8742,133000,133700,141742,142442,53.5,4.1,133758.0,57.0,4.3,0,0,-52.4,0
2026-07-01,09:00:25,247540,에코프로비엠,136400.0,1,0.4888,12100,7688,134300,142500,141988,150188,-393.6,-918.0,128712.0,-416.1,-967.6,1,1,-575.4,0
2026-07-02,10:20:58,033780,KT&G,171900.0,1,0.596,6200,4803,169000,167100,173803,171903,-109.5,-0.2,167097.0,-112.6,-0.2,1,1,113.7,0
2026-07-02,10:37:16,267250,HD현대,216500.0,1,0.4408,11200,6418,209000,210000,215418,216418,50.2,3.8,210082.0,51.8,3.9,0,0,-47.6,0
2026-07-08,09:18:30,066570,LG전자,197500.0,1,0.5381,14100,9863,187400,189100,197263,198963,12.0,-73.5,187637.0,12.6,-77.4,0,1,-89.9,0
2026-07-08,10:02:12,105560,KB금융,176300.0,1,0.6407,8400,6996,176200,173200,183196,180196,-376.4,-216.2,169304.0,-391.4,-224.9,1,1,173.2,0
2026-07-09,09:46:16,247540,에코프로비엠,117700.0,1,0.5469,7900,5616,113300,112600,118916,118216,-102.3,-43.6,112084.0,-107.3,-45.8,1,1,62.2,0
2026-07-10,09:00:51,105560,KB금융,176700.0,1,0.6492,6600,5569,179900,171400,185469,176969,-472.8,-15.2,171131.0,-487.4,-15.7,1,1,495.9,0
2026-07-10,10:36:09,010120,LS ELECTRIC,204500.0,1,0.4788,14500,9024,197000,189400,206024,198424,-74.0,306.2,195476.0,-77.4,320.8,1,0,401.3,0
2026-07-13,09:56:48,068270,셀트리온,179300.0,1,0.5425,6500,4583,175300,175200,179883,179783,-32.4,-26.9,174717.0,-33.3,-27.6,1,1,5.7,0
2026-07-13,10:06:04,087010,펩트론,115700.0,1,0.5281,11100,7619,109000,111600,116619,119219,-78.8,-295.2,108081.0,-84.3,-315.3,1,1,-233.0,0
2026-07-15,09:04:23,068270,셀트리온,178900.0,1,0.5563,6400,4628,175100,172800,179728,177428,-46.1,83.0,174272.0,-47.3,85.2,1,0,133.1,0
2026-07-15,09:11:44,247540,에코프로비엠,122600.0,1,0.5182,12600,8487,116100,112600,124587,121087,-159.5,125.0,114113.0,-171.1,134.4,1,0,310.8,0
2026-07-16,09:00:14,055550,신한지주,109300.0,1,0.4563,3700,2194,108600,107300,110794,109494,-134.8,-17.7,107106.0,-137.6,-18.1,1,1,121.2,0
2026-07-16,09:02:19,000270,기아,145900.0,1,0.5676,5000,3689,143400,145000,147089,148689,-80.8,-187.6,142211.0,-82.9,-192.3,1,1,-110.3,0
2026-07-20,09:03:12,095610,테스,203000.0,1,0.5452,25600,18144,189900,194300,208044,212444,-242.4,-444.5,184856.0,-265.6,-486.1,1,1,-226.5,0
2026-07-20,09:09:52,073240,금호타이어,6080.0,13,0.5619,470,343,5710,5850,6053,6193,44.6,-182.5,5737.0,47.3,-193.2,0,1,-239.3,0
2026-07-21,12:59:14,034020,두산에너빌리티,67200.0,1,0.5879,3200,2445,64700,64800,67145,67245,8.2,-6.7,64755.0,8.5,-6.9,0,1,-15.4,0
2026-07-21,15:40:00,000270,기아,144500.0,1,0.5013,8200,5343,139500,140000,144843,145343,-23.7,-58.0,139157.0,-24.6,-60.2,1,1,-35.7,0
2026-07-22,09:00:32,316140,우리금융지주,31700.0,2,0.6538,1050,891,31000,30500,31891,31391,-59.9,98.4,30809.0,-61.6,101.3,1,0,163.9,0
2026-07-22,09:01:34,064350,현대로템,160100.0,1,0.3974,10900,5630,155700,153100,161330,158730,-76.2,86.3,154470.0,-79.0,89.5,1,0,169.8,0
2026-07-23,09:00:18,058610,에스피지,88300.0,1,0.604,7200,5653,90300,82600,95953,88253,-797.6,5.3,82647.0,-847.5,5.7,1,0,932.2,0
2026-07-23,09:04:25,086520,에코프로,78900.0,1,0.4142,3800,2044,77700,77100,79744,79144,-105.8,-30.8,76856.0,-108.6,-31.6,1,1,77.8,0
2026-07-23,10:05:30,010140,삼성중공업,22350.0,1,0.5972,750,581,21650,21600,22231,22181,53.5,76.2,21769.0,55.0,78.2,0,0,23.1,0
2026-07-30,10:36:16,010140,삼성중공업,21250.0,1,0.5687,2460,1818,18820,19400,20638,21218,296.5,15.1,19432.0,325.2,16.5,0,0,-299.0,0
2026-07-31,09:30:15,073240,금호타이어,6800.0,1,0.5924,900,692,6230,6080,6922,6772,-176.2,41.3,6108.0,-195.8,46.1,1,0,246.7,0
2026-08-06,09:03:00,073240,금호타이어,7650.0,1,0.5583,700,507,7200,7380,7707,7887,-74.0,-300.5,7143.0,-79.2,-321.1,1,1,-243.9,0
2026-08-13,09:03:58,073240,금호타이어,7770.0,1,0.5525,540,387,7410,7420,7797,7807,-34.6,-47.4,7383.0,-36.4,-49.9,1,1,-13.5,0
2026-08-18,14:21:51,257720,실리콘투,45200.0,3,0.5735,3450,2571,43000,42850,45571,45421,-81.4,-48.7,42629.0,-86.3,-51.6,1,1,35.0,0
2026-08-18,15:03:27,007660,이수페타시스,102200.0,1,0.5022,8900,5809,97500,95600,103309,101409,-107.3,78.0,96391.0,-113.7,82.7,1,0,198.7,0
2026-08-19,09:29:49,108490,로보티즈,291500.0,1,0.4928,32500,20818,273500,279000,294318,299818,-95.7,-277.4,270682.0,-103.0,-298.1,1,1,-197.1,0
