date,time,ticker,name,fill,offset,k,krx_open,day_low,day_high,prev_close,t_open,t_prevc,bp_vs_open,bp_vs_prevc,implied_open_cap,cap_below_krxopen,cap_below_daylow,cap_vs_daylow_bp,gap_bp,early
2026-07-23,09:04:25,086520,에코프로,78900.0,2044,0.4142,77700,76900,84800,77100,79744,79144,-105.8,-30.8,76856.0,1,1,-5.7,77.8,0
2026-07-23,10:05:30,010140,삼성중공업,22350.0,581,0.5972,21650,21600,23650,21600,22231,22181,53.5,76.2,21769.0,0,0,78.2,23.1,0
2026-07-30,10:36:16,010140,삼성중공업,21250.0,1818,0.5687,18820,18820,21450,19400,20638,21218,296.5,15.1,19432.0,0,0,325.2,-299.0,0
2026-07-31,09:30:15,073240,금호타이어,6800.0,692,0.5924,6230,5980,7450,6080,6922,6772,-176.2,41.3,6108.0,1,0,214.0,246.7,0
2026-08-06,09:03:00,073240,금호타이어,7650.0,507,0.5583,7200,7120,8470,7380,7707,7887,-74.0,-300.5,7143.0,1,0,32.3,-243.9,0
2026-08-13,09:03:58,073240,금호타이어,7770.0,387,0.5525,7410,7400,8390,7420,7797,7807,-34.6,-47.4,7383.0,1,1,-23.0,-13.5,0
2026-08-18,14:21:51,257720,실리콘투,45200.0,2571,0.5735,43000,40950,47150,42850,45571,45421,-81.4,-48.7,42629.0,1,0,410.0,35.0,0
2026-08-18,15:03:27,007660,이수페타시스,102200.0,5809,0.5022,97500,95500,107600,95600,103309,101409,-107.3,78.0,96391.0,1,0,93.3,198.7,0
2026-08-19,09:29:49,108490,로보티즈,291500.0,20818,0.4928,273500,265500,295500,279000,294318,299818,-95.7,-277.4,270682.0,1,0,195.2,-197.1,0
2026-08-19,10:37:57,222800,심텍,115300.0,7607,0.6293,103900,101800,118800,110900,111507,118507,340.2,-270.6,107693.0,0,0,578.9,-631.2,0
2026-08-19,10:38:32,007660,이수페타시스,108900.0,8351,0.531,99900,97600,110800,102900,108251,111251,60.0,-211.3,100549.0,0,0,302.2,-291.5,0
2026-08-20,09:00:06,068270,셀트리온,201500.0,3772,0.5093,199100,194000,202000,194100,202872,197872,-67.6,183.4,197728.0,1,0,192.2,257.6,1
2026-08-20,09:22:24,016360,삼성증권,89700.0,2642,0.5351,86700,86400,93900,85000,89342,87642,40.1,234.8,87058.0,0,0,76.2,200.0,0
2026-08-20,15:40:00,028260,삼성물산,375000.0,11139,0.5713,357000,349000,377500,347000,368139,358139,186.4,470.8,363861.0,0,0,425.8,288.2,0
2026-08-21,09:00:31,034020,두산에너빌리티,77100.0,1202,0.5787,77900,72500,77900,75900,79102,77102,-253.1,-0.3,75898.0,1,0,468.7,263.5,1
2026-08-21,09:49:18,086790,하나금융지주,126900.0,3901,0.5663,124500,123000,129800,123400,128401,127301,-116.9,-31.5,122999.0,1,1,-0.1,89.1,0
2026-08-21,10:31:32,017670,SK텔레콤,100500.0,3428,0.5862,94900,94800,103800,96600,98328,100028,220.9,47.2,97072.0,0,0,239.7,-176.0,0
2026-08-24,09:00:21,035420,NAVER,232000.0,9942,0.6953,231000,221000,235000,222000,240942,231942,-371.1,2.5,222058.0,1,0,47.9,405.4,1
2026-08-24,09:07:22,096770,SK이노베이션,129600.0,4351,0.5314,124800,124700,134500,124800,129151,129151,34.8,34.8,125249.0,0,0,44.0,0.0,0
2026-08-24,15:40:00,373220,LG에너지솔루션,361500.0,10064,0.5339,347000,344500,363500,343500,357064,353564,124.2,224.5,351436.0,0,0,201.3,101.9,0
2026-08-25,09:23:02,055550,신한지주,105700.0,1840,0.5901,104100,102800,107800,103300,105940,105140,-22.7,53.3,103860.0,1,0,103.1,77.4,0
2026-08-25,09:27:00,086790,하나금융지주,130600.0,2020,0.5181,128600,128000,132700,128700,130620,130720,-1.5,-9.2,128580.0,1,0,45.3,-7.8,0
2026-08-25,15:40:00,034020,두산에너빌리티,80700.0,1197,0.5418,74700,72600,81600,73000,75897,74197,632.8,876.5,79503.0,0,0,950.8,232.9,0
2026-08-26,09:01:06,007660,이수페타시스,108500.0,7789,0.6243,107100,106000,111900,106900,114889,114689,-556.1,-539.6,100711.0,1,1,-499.0,18.7,1
2026-08-26,09:06:00,015760,한국전력,34150.0,1641,0.7019,33400,33050,36400,32700,35041,34341,-254.3,-55.6,32509.0,1,1,-163.7,214.1,0
2026-08-26,15:40:22,028260,삼성물산,387500.0,9491,0.5216,372000,367000,390000,367000,381491,376491,157.5,292.4,378009.0,0,0,300.0,136.2,0
2026-08-27,09:00:27,017670,SK텔레콤,103200.0,2667,0.5702,101800,97000,103600,99600,104467,102267,-121.3,91.2,100533.0,1,0,364.2,220.9,1
2026-08-27,09:00:31,222800,심텍,119800.0,6552,0.638,121800,116800,128950,112700,128352,119252,-666.3,46.0,113248.0,1,1,-304.1,807.5,1
2026-08-27,10:03:23,086790,하나금융지주,134100.0,1790,0.5103,134900,131500,136200,133200,136690,134990,-189.5,-65.9,132310.0,1,0,61.6,127.6,0
2026-08-28,09:04:37,035420,NAVER,228500.0,10589,0.7084,220000,218500,229000,216500,230589,227089,-90.6,62.1,217911.0,1,1,-27.0,161.7,0
2026-08-28,09:15:51,257720,실리콘투,51100.0,2263,0.6004,49200,49150,53700,49150,51463,51413,-70.5,-60.9,48837.0,1,1,-63.7,10.2,0
2026-08-31,09:09:45,003670,포스코퓨처엠,191100.0,5154,0.4558,184700,183200,201000,186300,189854,191454,65.6,-18.5,185946.0,0,0,149.9,-85.9,0
2026-09-01,09:00:36,047810,한국항공우주,138300.0,5050,0.4857,134100,125500,139800,131000,139150,136050,-61.1,165.4,133250.0,1,0,617.5,236.6,1
2026-09-01,09:03:14,010950,S-Oil,155300.0,3322,0.568,150400,150300,160000,150100,153722,153422,102.7,122.4,151978.0,0,0,111.6,20.0,0
2026-09-01,09:06:36,096770,SK이노베이션,134400.0,7436,0.5347,126900,125800,138500,125500,134336,132936,4.8,110.1,126964.0,0,0,92.5,111.6,0
2026-09-02,09:00:44,108490,로보티즈,247000.0,12416,0.5306,245500,243000,257500,254000,257916,266416,-423.2,-728.8,234584.0,1,1,-346.3,-334.6,1
2026-09-02,09:01:17,055550,신한지주,110800.0,2930,0.5636,110500,110000,113900,111100,113430,114030,-231.9,-283.3,107870.0,1,1,-193.6,-54.0,1
2026-09-03,09:05:03,105560,KB금융,174000.0,4846,0.5918,171600,169400,180700,169100,176446,173946,-138.6,3.1,169154.0,1,1,-14.5,147.8,0
2026-09-03,09:11:23,086790,하나금융지주,137700.0,2899,0.531,136100,133800,141100,134900,138999,137799,-93.5,-7.2,134801.0,1,0,74.8,89.0,0
