score,outcome,period,bucket,n,n_days,n_tickers,mean_bp,median_bp,win_rate,mean_net_bp,win_rate_net,se_cluster,t_vs0,p_vs0
rs,ret_bo_simple_stoplb_bp,all,NA,90,22,,49.05,44.63,0.5556,21.05,0.5333,83.24,0.59,0.562
rs,ret_bo_simple_stoplb_bp,prior,Q1,26,8,,13.56,-53.64,0.4231,-14.44,0.3846,58.7,0.23,0.8239
rs,ret_bo_simple_stoplb_bp,prior,Q2,22,10,,71.22,55.47,0.5455,43.22,0.5455,88.3,0.81,0.4407
rs,ret_bo_simple_stoplb_bp,prior,Q3,29,9,,68.73,12.53,0.5172,40.73,0.4483,67.81,1.01,0.3405
rs,ret_bo_simple_stoplb_bp,prior,Q4,38,9,,82.47,-126.68,0.3684,54.47,0.3421,115.45,0.71,0.4953
rs,ret_bo_simple_stoplb_bp,prior,NA,82,16,,29.73,52.13,0.561,1.73,0.5488,95.6,0.31,0.7601
rs,ret_bo_simple_stoplb_bp,new,Q1,45,13,,-2.03,6.51,0.5111,-30.03,0.4889,55.11,-0.04,0.9712
rs,ret_bo_simple_stoplb_bp,new,Q2,35,12,,35.84,36.0,0.5143,7.84,0.5143,77.86,0.46,0.6543
rs,ret_bo_simple_stoplb_bp,new,Q3,29,10,,86.06,-19.12,0.4483,58.06,0.3793,77.79,1.11,0.2973
rs,ret_bo_simple_stoplb_bp,new,Q4,34,11,,179.76,61.77,0.5294,151.76,0.5294,87.2,2.06,0.0662
rs,ret_bo_simple_stoplb_bp,new,NA,8,6,,247.06,-6.13,0.5,219.06,0.375,171.97,1.44,0.2103
rs,ret_bo_simple_stopub_bp,all,Q1,71,21,,-360.48,-500.0,0.1408,-388.48,0.1408,38.99,-9.25,0.0
rs,ret_bo_simple_stopub_bp,all,Q2,57,22,,-389.29,-500.0,0.1228,-417.29,0.1228,40.35,-9.65,0.0
rs,ret_bo_simple_stopub_bp,all,Q3,58,19,,-393.31,-500.0,0.1207,-421.31,0.0862,33.49,-11.74,0.0
rs,ret_bo_simple_stopub_bp,all,Q4,72,20,,-320.01,-500.0,0.1389,-348.01,0.125,49.24,-6.5,0.0
rs,ret_bo_simple_stopub_bp,all,NA,90,22,,-398.87,-500.0,0.0889,-426.87,0.0889,26.69,-14.94,0.0
rs,ret_bo_simple_stopub_bp,prior,Q1,26,8,,-500.0,-500.0,0.0,-528.0,0.0,0.0,,
rs,ret_bo_simple_stopub_bp,prior,Q2,22,10,,-430.21,-500.0,0.0909,-458.21,0.0909,43.91,-9.8,0.0
rs,ret_bo_simple_stopub_bp,prior,Q3,29,9,,-370.28,-500.0,0.1379,-398.28,0.1379,58.63,-6.32,0.0002
rs,ret_bo_simple_stopub_bp,prior,Q4,38,9,,-346.67,-500.0,0.1316,-374.67,0.1053,75.89,-4.57,0.0018
rs,ret_bo_simple_stopub_bp,prior,NA,82,16,,-394.93,-500.0,0.0976,-422.93,0.0976,28.42,-13.9,0.0
rs,ret_bo_simple_stopub_bp,new,Q1,45,13,,-279.87,-500.0,0.2222,-307.87,0.2222,43.31,-6.46,0.0
rs,ret_bo_simple_stopub_bp,new,Q2,35,12,,-363.57,-500.0,0.1429,-391.57,0.1429,57.34,-6.34,0.0001
rs,ret_bo_simple_stopub_bp,new,Q3,29,10,,-416.34,-500.0,0.1034,-444.34,0.0345,32.94,-12.64,0.0
rs,ret_bo_simple_stopub_bp,new,Q4,34,11,,-290.21,-500.0,0.1471,-318.21,0.1471,67.3,-4.31,0.0015
rs,ret_bo_simple_stopub_bp,new,NA,8,6,,-439.24,-500.0,0.0,-467.24,0.0,64.45,-6.82,0.001
rs,ret_bo_live_bp,all,Q1,149,23,,34.8,26.11,0.557,6.8,0.4966,50.67,0.69,0.4994
rs,ret_bo_live_bp,all,Q2,140,23,,93.69,17.67,0.5143,65.69,0.4714,41.69,2.25,0.035
rs,ret_bo_live_bp,all,Q3,132,21,,93.08,16.35,0.5152,65.08,0.4924,47.82,1.95,0.0658
rs,ret_bo_live_bp,all,Q4,142,23,,97.46,17.89,0.5211,69.46,0.4859,45.56,2.14,0.0438
rs,ret_bo_live_bp,all,NA,275,26,,-80.72,-42.64,0.4618,-108.72,0.4145,100.74,-0.8,0.4305
rs,ret_bo_live_bp,prior,Q1,65,10,,65.94,-13.98,0.4923,37.94,0.4462,84.45,0.78,0.4549
rs,ret_bo_live_bp,prior,Q2,64,10,,99.92,14.67,0.5156,71.92,0.4531,64.38,1.55,0.1551
rs,ret_bo_live_bp,prior,Q3,76,10,,68.05,-11.59,0.4737,40.05,0.4474,48.73,1.4,0.196
rs,ret_bo_live_bp,prior,Q4,73,10,,55.44,15.95,0.5068,27.44,0.4795,63.2,0.88,0.4032
rs,ret_bo_live_bp,prior,NA,259,18,,-102.37,-48.45,0.4402,-130.37,0.3938,109.71,-0.93,0.3638
rs,ret_bo_live_bp,new,Q1,84,13,,10.69,35.54,0.6071,-17.31,0.5357,61.31,0.17,0.8644
rs,ret_bo_live_bp,new,Q2,76,13,,88.44,22.27,0.5132,60.44,0.4868,56.96,1.55,0.1465
rs,ret_bo_live_bp,new,Q3,56,11,,127.03,83.98,0.5714,99.03,0.5536,91.45,1.39,0.195
rs,ret_bo_live_bp,new,Q4,69,13,,141.91,21.51,0.5362,113.91,0.4928,64.01,2.22,0.0467
rs,ret_bo_live_bp,new,NA,16,8,,269.75,156.11,0.8125,241.75,0.75,113.52,2.38,0.0491
